Tên,Năm ra mắt,Công nghệ xử lí hình ảnh,Giá (đ),Loại Tivi,Kích thước màn hình (inch),Độ phân giải,Tổng công suất loa (W),Tần số quét (Hz),Hãng sản xuất,Xuất xứ,Thời gian bảo hành (tháng)
Smart Tivi LG 4K 75 inch 75UR8050PSB,2023,"Chế độ hình ảnh phù hợp nội dung, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10 Pro, HLG, Điều chỉnh độ sáng tự động AI Brightness, Nâng cấp hình ảnh AI Picture Pro 4, Nâng cấp độ phân giải 4K AI Upscaling, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",18890000,Smart tivi,75,4k,20,60,Lg,Indonesia,24
Google Tivi Sony 4K 65 inch XR-65X90L,2023,"Dolby Vision, HDR10, HLG, Tăng cường tương phản XR Contrast Booster 10, Nâng cấp độ phân giải XR 4K Upscaling, Tăng cường màu sắc XR Triluminos Pro, Giảm nhiễu XR Clear Image, Làm mượt chuyển động XR Motion Clarity, Tinh năng Game Menu, Tính năng chơi game 4K 120fps, Đồng bộ khung hình/tần số quét chơi game VRR, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",32990000,Google tivi,65,4k,30,120,Sony,Malaysia,24
Google Tivi MiniLED Sony 4K 75 inch XR-75X95L,2023,"Công nghệ chống phản chiếu X-Anti Reflection, Dolby Vision, HDR10, HLG, Tăng cường tương phản XR Contrast Booster 10, Nâng cấp độ phân giải XR 4K Upscaling, Tăng cường màu sắc XR Triluminos Pro, Giảm nhiễu XR Clear Image, Làm mượt chuyển động XR Motion Clarity, Tinh năng Game Menu, Tính năng chơi game 4K 120fps, Đồng bộ khung hình/tần số quét chơi game VRR, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",69990000,Google tivi,75,4k,60,120,Sony,Malaysia,24
Smart Tivi OLED LG 8K 88 inch 88Z3PSA,2023,"4K Cinema HDR, Chế độ nhà làm phim FilmMaker Mode, Dolby Vision IQ, HDR Dolby Vision, HDR Dynamic Tone Mapping Pro, HDR10 Pro, HLG, Tăng độ sáng 70% Brightness Booster MAX, Tương phản hoàn hảo Perfect Black, Dải màu rộng OLED Color, Công nghệ điểm ảnh Pixel Dimming, Eye Comfort Display, Nâng cấp hình ảnh AI Picture Pro 8K, Chuyển động mượt OLED Motion, Chống xé hình FreeSync, Chống xé hình G-Sync, Đồng bộ khung hình/tần số quét chơi game VRR, Chế độ game HGiG, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",780000000,"Tivi OLED, Smart tivi",88,8k,80,120,Lg,Indonesia,24
Google Tivi Sony 4K 75 inch KD-75X80L,2023,"Chuyển động mượt Motionflow XR 200, Dolby Vision, HDR10, HLG, Nâng cấp hình ảnh 4K X-Reality PRO, Tăng cường màu sắc Triluminos Pro, Tinh năng Game Menu, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",29990000,Google tivi,75,4k,20,60,Sony,Malaysia,24
Google Tivi Sony 4K 55 inch XR-55X90L,2023,"Dolby Vision, HDR10, HLG, Tăng cường tương phản XR Contrast Booster 10, Nâng cấp độ phân giải XR 4K Upscaling, Tăng cường màu sắc XR Triluminos Pro, Giảm nhiễu XR Clear Image, Làm mượt chuyển động XR Motion Clarity",28290000,Google tivi,55,4k,30,120,Sony,Malaysia,24
Smart Tivi LG 4K 86 inch 86UR8050PSB,2023,"Chế độ hình ảnh phù hợp nội dung, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10 Pro, HLG, Điều chỉnh độ sáng tự động AI Brightness, Nâng cấp hình ảnh AI Super Upscaling 4K, Nâng cấp hình ảnh AI Picture Pro 4K, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",33900000,Smart tivi,86,4k,20,120,Lg,Indonesia,24
Smart Tivi OLED Samsung 4K 55 inch QA55S95B,2022,"Ambient Mode+, Brightness/Color Detection, HDR10+, HLG, Màu sắc chuẩn chứng nhận PANTONE, Quantum Dot hiển thị 100% dải màu, Quantum HDR, Real Depth Enhancer, Cân chỉnh màu sắc Expert Calibration, Chống chói Anti Reflection, Màn hình OLED, Chuyển động mượt Motion Xcelerator Turbo+, Chuyển động ảnh mượt mà Auto Motion Plus, Chống xé hình FreeSync Premium, LED Clear Motion, Góc nhìn siêu rộng Ultra Viewing Angle, Super Ultra Wide Game View & Game Bar, Chế độ Game Motion Plus, Căn chỉnh hình ảnh tự động bảo vệ mắt EyeComfort, FilmMaker Mode, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",41900000,"Tivi OLED, Smart tivi",55,4k,60,120,Samsung,Việt Nam,24
Smart Tivi Sony 4K 65 inch XR-65A80K VN3,2022,"Chuyển động mượt XR OLED Motion, Tăng cường màu sắc XR Triluminos Pro, Tăng độ tương phản XR OLED Contrast Pro, Bộ xử lý trí tuệ nhận thức XR Cognitive",41990000,"Tivi OLED, Android Tivi, Smart tivi",65,4k,50,100,Nhật Bản,Malaysia,24
Smart Tivi Sony 4K 75 inch XR-75X95K VN3,2022,"Loại màn hình: Mini LED, Công nghệ chống phản chiếu X-Anti Reflection, Góc nhìn rộng X-Wide Angle, Hiệu chuẩn màu sắc Netflix Calibrated Mode, Kiểm soát đèn nền XR Backlight Master Drive, Làm mượt chuyển động XR Motion Clarity, Tăng cường màu sắc XR Trilumin, Bộ xử lý trí tuệ nhận thức XR Cognitive",59990000,"Android Tivi, Smart tivi",75,4k,60,100,Nhật Bản,Malaysia,24
Smart Tivi OLED LG 4K 65 inch 65C3PSA,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, Chế độ Self - Lighting OLED, Dolby Vision, HDR Dynamic Tone Mapping Pro, HDR10, HLG, Tăng độ sáng 20% Brightness Booster, Tương phản hoàn hảo Perfect Black, Công nghệ điểm ảnh Pixel Dimming, Eye Comfort Display, Nâng cấp hình ảnh AI Super Upscaling 4K, Chống xé hình FreeSync, Chống xé hình G-Sync, Đồng bộ khung hình/tần số quét chơi game VRR, Chế độ hình ảnh phù hợp nội dung, Công nghệ AI Genre Selection",49990000,"Tivi OLED, Smart tivi",65,4k,40,120,Lg,Indonesia,24
Smart Tivi Sony 4K 65 inch XR-65X95K VN3,2022,"Bộ xử lý trí tuệ nhận thức XR Cognitive, Công nghệ chống phản chiếu X-Anti Reflection, Góc nhìn rộng X-Wide Angle, Hiệu chuẩn màu sắc Netflix Calibrated Mode, Kiểm soát đèn nền XR Backlight Master Drive, Làm mượt chuyển động XR Motion Clarity, Tăng cường màu sắc XR Trilum",47790000,"Android Tivi, Tivi LED, Smart tivi",65,4k,60,100,Sony,Malaysia,24
Smart Tivi OLED evo LG 4K 65 inch 65G3PSA,2023,"4K Cinema HDR, Chế độ nhà làm phim FilmMaker Mode, Dolby Vision IQ, HDR Dolby Vision, HDR Dynamic Tone Mapping Pro, HDR10 Pro, HLG, Tăng độ sáng 70% Brightness Booster MAX, Tương phản hoàn hảo Perfect Black, Dải màu rộng OLED Color, Công nghệ điểm ảnh Pixel Dimming, Eye Comfort Display, Nâng cấp hình ảnh AI Picture Pro 8K, Chuyển động mượt OLED Motion, Chống xé hình FreeSync, Chống xé hình G-Sync, Đồng bộ khung hình/tần số quét chơi game VRR, Chế độ game HGiG, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",56890000,"Tivi OLED, Smart tivi",65,4k,60,120,Lg,Indonesia,24
Google Tivi OLED Sony 4K 55 inch XR-55A80L,2023,"Chuyển động mượt XR OLED Motion, Dolby Vision, HDR10, HLG, Tăng độ tương phản XR OLED Contrast Pro, Nâng cấp độ phân giải XR 4K Upscaling, Tăng cường màu sắc XR Triluminos Pro, Giảm nhiễu XR Clear Image, Tinh năng Game Menu, Tính năng chơi game 4K 120fps, Đồng bộ khung hình/tần số quét chơi game VRR, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",39990000,"Tivi OLED, Google tivi",55,4k,50,120,Sony,Malaysia,24
Smart Tivi LG 4K 75 inch 75UR9050PSK,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10 Pro, HLG, Kiểm soát đèn nền - Local Dimming, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",29990000,Smart tivi,75,4k,20,60,Lg,Indonesia,24
Smart Tivi OLED LG 4K 55 inch OLED55A3PSA,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, Chế độ Self - Lighting OLED, Dolby Vision, HDR Dynamic Tone Mapping Pro, HDR10, HLG, Tăng độ sáng 20% Brightness Booster, Tương phản hoàn hảo Perfect Black, Công nghệ điểm ảnh Pixel Dimming, Eye Comfort Display, Nâng cấp hình ảnh AI Super Upscaling 4K, Chống xé hình FreeSync, Chống xé hình G-Sync, Đồng bộ khung hình/tần số quét chơi game VRR, Chế độ hình ảnh phù hợp nội dung, Công nghệ AI Genre Selection, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tối ưu hoá hình ảnh chơi game Game Optimizer",25990000,"Tivi OLED, Smart tivi",55,4k,20,60,Lg,Indonesia,24
Google Tivi OLED Sony 4K 48 inch XR-48A90K,2023,"Chuyển động mượt XR OLED Motion, Tăng độ tương phản XR OLED Contrast Pro, Tăng cường màu sắc XR Triluminos Pro",32900000,"Tivi OLED, Google tivi",48,4k,25,100,Sony,Malaysia,24
Smart Tivi OLED Samsung 4K 65 inch QA65S95B,2022,"Ambient Mode+, Brightness/Color Detection, HDR10+, HLG, Màu sắc chuẩn chứng nhận PANTONE, Quantum Dot hiển thị 100% dải màu, Quantum HDR, Real Depth Enhancer, Cân chỉnh màu sắc Expert Calibration, Chống chói Anti Reflection, Màn hình OLED, Chuyển động mượt Motion Xcelerator Turbo+, Chuyển động ảnh mượt mà Auto Motion Plus, Chống xé hình FreeSync Premium, LED Clear Motion, Góc nhìn siêu rộng Ultra Viewing Angle, Super Ultra Wide Game View & Game Bar, Chế độ Game Motion Plus, Căn chỉnh hình ảnh tự động bảo vệ mắt EyeComfort, FilmMaker Mode, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",53900000,"Tivi OLED, Smart tivi",65,4k,60,120,Samsung,Việt Nam,24
Smart Tivi OLED LG 4K 55 inch 55C3PSA,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, Chế độ Self - Lighting OLED, Dolby Vision, HDR Dynamic Tone Mapping Pro, HDR10, HLG, Tăng độ sáng 20% Brightness Booster, Tương phản hoàn hảo Perfect Black, Công nghệ điểm ảnh Pixel Dimming, Eye Comfort Display, Nâng cấp hình ảnh AI Super Upscaling 4K, Chống xé hình FreeSync, Chống xé hình G-Sync, Đồng bộ khung hình/tần số quét chơi game VRR, Chế độ hình ảnh phù hợp nội dung, Công nghệ AI Genre Selection, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tối ưu hoá hình ảnh chơi game Game Optimizer",34990000,"Tivi OLED, Smart tivi",55,4k,40,120,Lg,Indonesia,24
Smart Tivi QNED LG 4K 86 inch 86QNED80SRA,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10, Hiển thị màu rực rỡ Quantum Dot NanoCell Color, HLG, Vùng sáng độc lập Dimming Precision, Điều chỉnh độ sáng tự động AI Brightness, Dải màu rộng QNED Color Pro, Nâng cấp hình ảnh AI Super Upscaling 4K, Nâng cấp hình ảnh AI Picture Pro 4K, Chế độ hình ảnh phù hợp nội dung, Tương thích bộ mã hóa Video decoder (VP9, AV1)",44890000,"Smart tivi, QNED tivi",86,4k,40,120,Lg,Indonesia,24
Smart Tivi QNED LG 4K 75 inch 75QNED80SRA,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10, Hiển thị màu rực rỡ Quantum Dot NanoCell Color, HLG, Vùng sáng độc lập Dimming Precision, Điều chỉnh độ sáng tự động AI Brightness, Dải màu rộng QNED Color Pro, Nâng cấp hình ảnh AI Super Upscaling 4K, Nâng cấp hình ảnh AI Picture Pro 4K, Chế độ hình ảnh phù hợp nội dung, Tương thích bộ mã hóa Video decoder (VP9, AV1)",28890000,"Smart tivi, QNED tivi",75,4k,20,120,Lg,Indonesia,24
Google Tivi OLED Sony 4K 65 inch XR-65A80L,2023,"Chuyển động mượt XR OLED Motion, Dolby Vision, HDR10, HLG, Tăng độ tương phản XR OLED Contrast Pro, Nâng cấp độ phân giải XR 4K Upscaling, Tăng cường màu sắc XR Triluminos Pro, Giảm nhiễu XR Clear Image, Tinh năng Game Menu, Tính năng chơi game 4K 120fps, Đồng bộ khung hình/tần số quét chơi game VRR, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",53490000,"Tivi OLED, Google tivi",65,4k,50,120,Sony,Malaysia,24
Smart Tivi OLED LG 4K 77 inch 77C3PSA,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, Chế độ Self - Lighting OLED, Dolby Vision, HDR Dynamic Tone Mapping Pro, HDR10, HLG, Tăng độ sáng 20% Brightness Booster, Tương phản hoàn hảo Perfect Black, Công nghệ điểm ảnh Pixel Dimming, Eye Comfort Display, Nâng cấp hình ảnh AI Super Upscaling 4K, Chống xé hình FreeSync, Chống xé hình G-Sync, Đồng bộ khung hình/tần số quét chơi game VRR, Chế độ hình ảnh phù hợp nội dung, Công nghệ AI Genre Selection",79990000,"Tivi OLED, Smart tivi",77,4k,40,120,Lg,Indonesia,24
Google Tivi Sony 4K 75 inch XR-75X90L,2023,"Dolby Vision, HDR10, HLG, Tăng cường tương phản XR Contrast Booster 10, Nâng cấp độ phân giải XR 4K Upscaling, Tăng cường màu sắc XR Triluminos Pro, Giảm nhiễu XR Clear Image, Làm mượt chuyển động XR Motion Clarity, Tinh năng Game Menu, Tính năng chơi game 4K 120fps, Đồng bộ khung hình/tần số quét chơi game VRR, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",43990000,Google tivi,75,4k,30,120,Sony,Malaysia,24
Smart Tivi QNED LG 4K 65 inch 65QNED86SRA,2023,"Active HDR, Chế độ nhà làm phim FilmMaker Mode, Dolby Vision, HDR Dynamic Tone Mapping, HDR10, Hiển thị màu rực rỡ Quantum Dot NanoCell Color, HLG, Vùng sáng độc lập Dimming Precision, Điều chỉnh độ sáng tự động AI Brightness, Dải màu rộng QNED Color Pro, Nâng cấp hình ảnh AI Super Upscaling 4K, Nâng cấp hình ảnh AI Picture Pro 4K, Chế độ hình ảnh phù hợp nội dung, Tương thích bộ mã hóa Video decoder (VP9, AV1)",38890000,"Smart tivi, QNED tivi",65,4k,20,120,Lg,Indonesia,24
Google Tivi MiniLED Sony 4K 85 inch XR-85X95L,2023,"Công nghệ chống phản chiếu X-Anti Reflection, Dolby Vision, HDR10, HLG, Tăng cường tương phản XR Contrast Booster 10, Nâng cấp độ phân giải XR 4K Upscaling, Tăng cường màu sắc XR Triluminos Pro, Giảm nhiễu XR Clear Image, Làm mượt chuyển động XR Motion Clarity, Tinh năng Game Menu, Tính năng chơi game 4K 120fps, Đồng bộ khung hình/tần số quét chơi game VRR, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",99000000,Google tivi,85,4k,60,120,Sony,Malaysia,24
Google Tivi Sony 4K 85 inch KD-85X80L,2023,"Chuyển động mượt Motionflow XR 200, Dolby Vision, HDR10, HLG, Nâng cấp hình ảnh 4K X-Reality PRO, Tăng cường màu sắc Triluminos Pro, Tinh năng Game Menu, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",43900000,Google tivi,85,4k,20,60,Sony,Malaysia,24
Smart Tivi OLED LG 4K 48 inch OLED48A3PSA,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, Chế độ Self - Lighting OLED, Dolby Vision, HDR Dynamic Tone Mapping Pro, HDR10, HLG, Tăng độ sáng 20% Brightness Booster, Tương phản hoàn hảo Perfect Black, Công nghệ điểm ảnh Pixel Dimming, Eye Comfort Display, Nâng cấp hình ảnh AI Super Upscaling 4K, Chống xé hình FreeSync, Chống xé hình G-Sync, Đồng bộ khung hình/tần số quét chơi game VRR, Chế độ hình ảnh phù hợp nội dung, Công nghệ AI Genre Selection, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tối ưu hoá hình ảnh chơi game Game Optimizer",24890000,"Tivi OLED, Smart tivi",48,4k,20,60,Lg,Indonesia,24
Smart Tivi OLED LG 4K 48 inch 48C3PSA,2023,"Chế độ nhà làm phim FilmMaker Mode, Chế độ Self - Lighting OLED, Dolby Vision, HDR Dynamic Tone Mapping Pro, HDR10, HLG, Tăng độ sáng 20% Brightness Booster, Tương phản hoàn hảo Perfect Black, Công nghệ điểm ảnh Pixel Dimming, Eye Comfort Display, Nâng cấp hình ảnh AI Super Upscaling 4K, Chế độ hình ảnh phù hợp nội dung, Công nghệ AI Genre Selection",34990000,"Tivi OLED, Smart tivi",48,4k,40,120,Lg,Indonesia,24
Google Tivi OLED Sony 4K 77 inch XR-77A80L,2023,"Chuyển động mượt XR OLED Motion, Dolby Vision, HDR10, HLG, Tăng độ tương phản XR OLED Contrast Pro, Nâng cấp độ phân giải XR 4K Upscaling, Tăng cường màu sắc XR Triluminos Pro, Giảm nhiễu XR Clear Image, Tinh năng Game Menu, Tính năng chơi game 4K 120fps, Đồng bộ khung hình/tần số quét chơi game VRR, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",77690000,"Tivi OLED, Google tivi",77,4k,60,120,Sony,Malaysia,24
Smart Tivi OLED LG 4K 83 inch 83C3PSA,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, Chế độ Self - Lighting OLED, Dolby Vision, HDR Dynamic Tone Mapping Pro, HDR10, HLG, Tăng độ sáng 20% Brightness Booster, Tương phản hoàn hảo Perfect Black, Công nghệ điểm ảnh Pixel Dimming, Eye Comfort Display, Nâng cấp hình ảnh AI Super Upscaling 4K, Chống xé hình G-Sync, Chế độ hình ảnh phù hợp nội dung, Công nghệ AI Genre Selection",111890000,"Tivi OLED, Smart tivi",83,4k,40,120,Lg,Indonesia,24
Google Tivi Sony 4K 75 inch KD-75X85L,2023,"Dolby Vision, HDR10, HLG, Tăng cường tương phản Dynamic Contrast Enhancer, X-tended Dynamic Range, Nâng cấp hình ảnh 4K X-Reality PRO, Tăng cường màu sắc Triluminos Pro, Làm mượt chuyển động XR Motion Clarity, Tinh năng Game Menu, Tính năng chơi game 4K 120fps, Đồng bộ khung hình/tần số quét chơi game VRR, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",36990000,Google tivi,75,4k,20,120,Sony,Malaysia,24
Smart Tivi QNED LG 4K 75 inch 75QNED86SRA,2023,"Active HDR, Chế độ nhà làm phim FilmMaker Mode, Dolby Vision, HDR Dynamic Tone Mapping, HDR10, Hiển thị màu rực rỡ Quantum Dot NanoCell Color, HLG, Vùng sáng độc lập Dimming Precision, Điều chỉnh độ sáng tự động AI Brightness, Dải màu rộng QNED Color Pro, Nâng cấp hình ảnh AI Super Upscaling 4K, Nâng cấp hình ảnh AI Picture Pro 4K, Chống xé hình FreeSync, Motion Pro, Tương thích bộ mã hóa Video decoder (VP9, AV1",59990000,"Smart tivi, QNED tivi",75,4k,40,120,Lg,Indonesia,24
Google Tivi MiniLED Sony 4K 65 inch XR-65X95L,2023,"Công nghệ chống phản chiếu X-Anti Reflection, Dolby Vision, HDR10, HLG, Tăng cường tương phản XR Contrast Booster 10, Nâng cấp độ phân giải XR 4K Upscaling, Tăng cường màu sắc XR Triluminos Pro, Giảm nhiễu XR Clear Image, Làm mượt chuyển động XR Motion Clarity, Tinh năng Game Menu, Tính năng chơi game 4K 120fps, Đồng bộ khung hình/tần số quét chơi game VRR, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",51990000,Google tivi,65,4k,60,120,Sony,Malaysia,24
Smart Tivi Khung Tranh The Frame 4K Samsung LTV 55 inch 55LS03BA,2022,"Adaptive Picture, Ambient Mode+, Brightness/Color Detection, Bộ xử lý Quantum 4K AI, Chuyển động mượt Motion Xcelerator Turbo+, Chuyển động ảnh mượt mà Auto Motion Plus, Chế độ phim Film mode, Chế độ tranh nghệ thuật Art Mode, HDR10+, Khử nhiễu hình ảnh Digital Clean View, Quantum Dot hiển thị 100% dải màu, Quantum HDR, Supreme UHD Dimming, Độ tương phản cao - Mega Contrast",13990000,"Tivi QLED, Smart tivi, Tivi thiết kế đặc biệt",55,4k,40,120,Samsung,Việt Nam,24
Tivi Coocaa HD 32 inch 32R5 (model 2023),2023,"Công nghệ Trochilus Extreme, HDR 10+",2790000,Smart tivi,32,HD,10,60,Coocaa,Indonesia,24
Smart Tivi LG 4K 65 inch 65UR7550PSC,2022,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10, HLG, Điều chỉnh độ sáng tự động AI Brightness, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency +Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",11990000,Smart tivi,65,4k,20,60,Lg,Indonesia,24
Smart Tivi LG UHD 4K 43 inch 43UQ7050,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10, HLG, Điều chỉnh độ sáng tự động AI Brightness, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",6990000,Smart tivi,43,4k,20,60,Lg,Indonesia,24
Smart Tivi Samsung 4K 55 inch UA55AU7002,2022,"Chuyển động mượt Motion Xcelerator, HDR10+, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, PurColor, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",8250000,"Tivi LED, Smart tivi",55,4k,20,60,Hàn Quốc,Việt Nam,24
Xiaomi Smart Display Max 86 inch - Chỉ có tại CellphoneS,2023,"Độ phân giải: 3840 x 2160, Tốc độ làm mới: 120Hz, 1.07 tỉ màu, MEMC: 4K 120Hz, Gam màu rộng: DCI-P3 92%, Dolby Vision, HDR10 +, HDR10, HGL, Góc nhìn178°(H)/178°(V)",26490000,Android Tivi,86,4k,30,120,Xiaomi,Trung Quốc,24
Smart Tivi di động LG Stanby Me 27inch,2021,"Active HDR, Bộ xử lý α7 Gen4 2K, Nâng cấp hình ảnh Image Enhancing, Nâng cấp độ phân giải Resolution Upscaler",17990000,"Tivi LED, Smart tivi, Tivi thiết kế đặc biệt",27,2k,10,60,Hàn Quốc,Việt Nam,24
Smart Tivi LG UHD 4K 55 inch 55UQ7050,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10, HLG, Điều chỉnh độ sáng tự động AI Brightness, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",9290000,Smart tivi,55,4k,20,60,Lg,Indonesia,24
Smart Tivi Sony 4K 55 inch KD-55X75K VN3,2022,"Chuyển động mượt Motionflow XR 200, HDR10, HLG, Tăng cường tương phản Dynamic Contrast Enhancer, Màu sắc sống động Live Colour, Nâng cấp hình ảnh 4K X-Reality PRO",11990000,"Tivi LED, Smart tivi",55,4k,20,50,Nhật Bản,Việt Nam,24
Smart Tivi LG UHD 4K 50 inch 50UQ7050,2023,"Chế độ game HGiG, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10, HLG, Điều chỉnh độ sáng tự động AI Brightness, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",8490000,Smart tivi,50,4k,20,60,Lg,Indonesia,24
Smart Tivi Samsung Crystal UHD 4K 43 inch 43AU7700,2022,"Analog Clean View, HDR10+, Khử nhiễu hình ảnh Digital Clean View, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, Nâng cấp độ tương phản Max Contrast, PurColor, Chuyển động mượt Motion Xcelerator, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",7690000,"Tivi LED, Smart tivi",43,4k,20,60,Samsung,Việt Nam,24
Smart Tivi LG 4K 43 inch 43UQ7550PSF,2022,"Active HDR, Chế độ nhà làm phim FilmMaker Mode, HDR Dynamic Tone Mapping, HDR10 Pro, HLG, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ game HGiG, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",6990000,Smart tivi,43,4k,20,60,Lg,Indonesia,24
Smart Tivi NanoCell LG 4K 55 inch 55NANO76SQA,2022,"Active HDR, HDR Dynamic Tone Mapping, HDR10 Pro, HLG, Dải màu rộng Nano Color, Nâng cấp hình ảnh AI Picture Pro 4K, Nâng cấp độ phân giải 4K AI Upscaling, Chế độ game HGiG, Chế độ hình ảnh phù hợp nội dung, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Tương thích bộ mã hóa Video decoder (VP9, AV1), Tương thích HEVC",11490000,"Tivi NanoCell, Smart tivi",55,4k,20,60,Lg,Indonesia,24
Google Tivi TCL 4K 55 inch 55P737,2022,"Dolby Vision, HDR10, Dải màu rộng Wide Color Gamut, Kiểm soát đèn nền Micro Dimming, Tăng cường chuyển động MEMC 60Hz",7690000,Google tivi,55,4k,19,60,Tcl,Việt Nam,24
Smart Tivi Sony 4K 65 inch KD-65X75K VN3,2022,"Công nghệ LED nền (Direct LED, Frame dimming), Bộ xử lý 4K Processor X1, Độ phân giải 4K, Công nghệ 4K X-Reality PRO tự động nâng cấp hình ảnh lên 4K, Công nghệ tạo màu Live Color, Công nghệ chuyển động XR Motion, Hỗ trợ HDR10, HLG",14690000,"Tivi LED, Smart tivi",65,4k,20,50,Chromecast,Việt Nam,24
Smart Tivi Samsung Crystal UHD 4K 55 inch UA55AU7700KXXV,2021,"Analog Clean View, Bộ xử lý Crystal 4K, Chuyển động mượt Motion Xcelerator, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), HDR10+, Khử nhiễu hình ảnh Digital Clean View, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, Nâng cấp độ tương phản Max Contrast, PurColor",9990000,"Tivi LED, Smart tivi",55,4k,20,60,Samsung,Việt Nam,24
Smart Tivi Sony 4K 43 inch KD-43X75K VN3,2022,"Chuyển động mượt Motionflow XR 200, HDR10, HLG, Tăng cường tương phản Dynamic Contrast Enhancer, Màu sắc sống động Live Colour, Nâng cấp hình ảnh 4K X-Reality PRO",8990000,"Tivi LED, Smart tivi, Google tivi",43,4k,20,50,Nhật Bản,Việt Nam,24
